;categories;Count;category_main
0;Produits laitiers;41;Produits laitiers
1;Aliments et boissons à base de végétaux;40;Aliments et boissons à base de végétaux
2;Aliments d'origine végétale;37;Aliments et boissons à base de végétaux
3;Frais;33;Surgelés
4;Boissons;31;Boissons
5;Fromages;28;Produits laitiers
6;Produits fermentés;19;
7;Plats préparés;18;Plats préparés
8;Fromages pasteurisés;17;Produits laitiers
9;Fromages de vache;16;Produits laitiers
10;Produits laitiers fermentés;16;Produits laitiers
11;Fromages industriels;15;Produits laitiers
12;Boissons non sucrées;15;Boissons non sucrées
13;Desserts;13;Biscuits et gateaux
14;Céréales et pommes de terre;13;Pains et céréales
15;Fromages de France;13;Produits laitiers
16;Produits de la mer;12;Produits de la mer
17;Petit-déjeuners;12;Pains et céréales
18;Snacks sucrés;11;Biscuits et gateaux
19;Poissons;11;Produits de la mer
20;Plats préparés à réchauffer au micro-ondes;10;Plats préparés
21;Produits à tartiner;9;Pâtes à tartiner
22;Sauces;9;Sauces
23;Céréales et dérivés;9;Pains et céréales
24;Plant-based foods and beverages;9;Aliments et boissons à base de végétaux
25;Aliments à base de fruits et de légumes;9;Aliments et boissons à base de végétaux
26;Boissons à base de végétaux;8;Aliments et boissons à base de végétaux
27;Epicerie;8;
28;Eaux minérales;8;Eau
29;Boissons végétales;8;Aliments et boissons à base de végétaux
30;plant-based-foods-and-beverages;8;Aliments et boissons à base de végétaux
31;Plant-based foods;8;Aliments et boissons à base de végétaux
32;Eaux;8;Eau
33;Fermented milk products;7;Produits laitiers
34;Charcuteries;7;Viandes et charcuteries
35;Boissons alcoolisées;7;Boissons alcoolisées
36;Pflanzliche Lebensmittel und Getränke;7;Aliments et boissons à base de végétaux
37;Pflanzliche Lebensmittel;7;Aliments et boissons à base de végétaux
38;Viandes;7;Viandes et charcuteries
39;Boissons sucrées;6;Boissons
40;Dairies;6;Produits laitiers
41;Conserves;6;Conserves
42;Mozzarella;6;Produits laitiers
43;Légumes et dérivés;6;Aliments et boissons à base de végétaux
44;Céréales pour petit-déjeuner;6;Pains et céréales
45;Laits;6;Produits laitiers
46;Fromages italiens;6;Produits laitiers
47;Cereals and potatoes;5;Pains et céréales
48;Canned foods;5;Conserves
49;Surgelés;5;Surgelés
50;Légumineuses et dérivés;5;Légumineuses
51;Yaourts;5;Produits laitiers
52;Produits à tartiner sucrés;5;Pâtes à tartiner
53;fresh-foods;5;
54;Boissons végétales de soja;5;Aliments et boissons à base de végétaux
55;Eaux de sources;5;Eau
56;Plats préparés frais;5;Plats préparés
57;Infusions;5;Thés et infusions
58;Cheeses;5;Produits laitiers
59; plant-based-foods;5;Aliments et boissons à base de végétaux
60;Boissons chaudes;5;Boissons
61;Apéritif;4;Boissons alcoolisées
62;Laits demi-écrémés;4;Produits laitiers
63;Édulcorants;4;
64;Fromages à pâte filée;4;Produits laitiers
65;Légumes en conserve;4;Conserves
66;Pâtes alimentaires;4;Pâtes alimentaires
67;Plats préparés réfrigérés;4;Plats préparés, Surgelés
68;Viennoiseries;4;Biscuits et gateaux
69;sugary-snacks;4;Biscuits et gateaux
70;Produits d'élevages;4;
71;Vins;4;Boissons alcoolisées
72;Produits labellisés;4;
73;Porc;4;Viandes et charcuteries
74;Thés;4;Thés et infusions
75; biscuits-and-cakes;4;Biscuits et gateaux
76;meals;4;Plats préparés
77;Plats à base de viande;4;Plats préparés
78;Biscuits et gâteaux;4;Biscuits et gateaux
79;Matières grasses;4;
80; cereals-and-their-products;4;Pains et céréales
81;Sauces tomate;4;Sauces
82;Biscuits;4;Biscuits et gateaux
83;Laits UHT;4;Produits laitiers
84;Fermented foods;4;
85;Filets de poissons;4;Produits de la mer
86;meats;4;Viandes et charcuteries
87;Pains;4;Pains et céréales
88;Meals;4;Plats préparés
89; cereals-and-potatoes;4;Pains et céréales
90;Fromages à pâte fraîche;4;Produits laitiers
91;Fishes;3;Produits de la mer
92; beverages;3;Boissons
93;Ketchup;3;Sauces
94;Substitut du lait;3;
95;Jus et nectars;3;Boissons
96;Biscottes;3;Pains et céréales
97;Boissons gazeuses;3;Boissons
98;Whiskys;3;Boissons alcoolisées
99;Cereals and their products;3;Pains et céréales
100;Desserts au soja;3;Aliments et boissons à base de végétaux
101;Fromages à tartiner;3;Produits laitiers
102;Fruits and vegetables based foods;3;Aliments et boissons à base de végétaux
103;Chocolats;3;Chocolats
104;Alcools forts;3;Boissons alcoolisées
105;Laits homogénéisés;3;Produits laitiers
106;Vins français;3;Boissons alcoolisées
107;Yaourts natures;3;Produits laitiers
108;Saumons;3;Produits de la mer
109;Condiments;3;Condiments
110;Eaux-de-vie;3;Boissons alcoolisées
111;Desserts végétaliens;3;Aliments et boissons à base de végétaux
112;Produits à tartiner salés;3;Pâtes à tartiner
113;Babynahrung;3;Nourriture pour bébé
114;Beverages;3;Boissons
115;Fromages au lait cru;3;Produits laitiers
116;Fresh foods;3;
117;Thons en conserve;3;Conserves, Produits de la mer
118;Aliments à base de plantes en conserve;3;Aliments et boissons à base de végétaux, Conserves
119; biscuits;3;Biscuits et gateaux
120;Jambons;3;Viandes et charcuteries
121;Fromage;3;Produits laitiers
122;plant-based-foods;3;Aliments et boissons à base de végétaux
123;Desserts lactés;3;Produits laitiers
124;Vins rouges;3;Boissons alcoolisées
125;Eaux minérales naturelles;3;Eau
126;Légumes frais;3;
127;Seafood;3;Produits de la mer
128;Plats à base de viande bovine;3;Viandes et charcuteries, Plats préparés
129;Compotes;3;Compote de fruits
130;Fruits et produits dérivés;3;
131;Fromages AOC;3;Produits laitiers
132;Compotes de pomme;3;Compote de fruits
133;Poissons en conserve;3;Conserves, Produits de la mer
134;Produits AOC;3;
135;Boissons sans alcool;3;Boissons
136;Produits de l'olivier;3;
137;Getreide und Kartoffeln;3;Pains et céréales
138;Poissons surgelés;2;Produits de la mer, Surgelés
139;Pâtes à tartiner aux noisettes;2;Pâtes à tartiner
140;dried-meals;2;
141;Fromages à pâte pressée demi-cuite;2;Produits laitiers
142;cereals-and-their-products;2;Pains et céréales
143;fr:nouilles-orientales;2;Pâtes alimentaires
144;Spreads;2;Pâtes à tartiner
145;Sauces Pesto;2;Sauces
146;Oilseed purees;2;
147;Breads;2;Pains et céréales
148;Canned vegetables;2;Conserves
149;Huiles d'olive;2;Huiles
150;Crèmes glacées;2;Produits laitiers
151;cereals-and-potatoes;2;Pains et céréales, Pommes de terre
152;fr:nouilles-asiatiques;2;Pâtes alimentaires
153;Compotes allégées;2;Compote de fruits
154;Huiles;2;Huiles
155;Fromages à pâte molle à croûte lavée;2;Produits laitiers
156;soups;2;Aliments et boissons à base de végétaux
157;Poisson;2;Produits de la mer
158;Fromages de chèvre;2;Produits laitiers
159;Plats préparés aux noix de Saint-Jacques;2;Produits de la mer, Plats préparés
160;Compotes pommes nature;2;Compote de fruits
161; beef-dishes;2;Viandes et charcuteries, Plats préparés
162; meals-with-meat;2;Viandes et charcuteries, Plats préparés
163;Vegetables based foods;2;Aliments et boissons à base de végétaux
164;Canned plant-based foods;2;Aliments et boissons à base de végétaux, Conserves
165;Charcuteries cuites;2;Viandes et charcuteries
166;Pommes de terre;2;Pommes de terre
167;Pizzas;2;Plats préparés
168;Groceries;2;
169;Olive oils;2;Huiles
170;Eaux gazeuses;2;Eau
171;dehydrated-soups;2;Plats préparés
172;Boissons aux fruits;2;Boissons
173;Jambons blancs;2;Viandes et charcuteries
174;Produits sans gluten;2;Produits sans gluten
175; mineral-waters;2;Eau
176;Canned fishes;2;Conserves, Produits de la mer
177;instant-noodles;2;Pâtes alimentaires
178;Fromages à pâte molle à croûte fleurie;2;Produits laitiers
179;Thés verts étuvés;2;Thés et infusions
180;dried-products-to-be-rehydrated;2;
181;Thons;2;Produits de la mer
182;Pâtes farcies;2;Plats préparés
183; meals;2;Plats préparés
184;Fromages des Pays-Bas;2;Produits laitiers
185;Fromages en tranches;2;Produits laitiers
186;Meat-based products;2;Viandes et charcuteries, Plats préparés
187;Fromages double crème;2;Produits laitiers
188;Jus et nectars de fruits;2;Jus de fruits
189;Whisky écossais;2;Boissons alcoolisées
190;Canned tunas;2;Produits de la mer, Conserves
191;Artichauts en conserve;2;Conserves
192;Fromages à pâte fondue;2;Produits laitiers
193;Brioches;2;Pains et céréales
194;Fette;2;
195;Surimi;2;
196;Comté;2;Produits laitiers
197;Tunas;2;Produits de la mer
198;Fromages blancs;2;Produits laitiers
199;Produits de la ruche;2;Miels
200;Fromages labéllisés;2;Produits laitiers
201;Champignons en conserve;2;Conserves
202;Sugary snacks;2;Biscuits et gateaux
203;Produits panés;2;Plats préparés
204;nach dem 4. Monat;2;
205; cheeses;2;Produits laitiers
206;Sauces pour pâtes;2;Sauces
207;Desserts au chocolat;2;
208;dried-products;2;
209;Plats à base de volaille;2;Viandes et charcuteries
210;Yaourts entiers;2;Produits laitiers
211; desserts;2;
212;Biscuits secs;2;Biscuits et gateaux
213;Pasteurized cheeses;2;Produits laitiers
214;fr:Foies gras de canard;2;Viandes et charcuteries
215;Lasagnes préparées;2;Plats préparés
216;Jambons crus;2;Viandes et charcuteries
217;Non-sugared beverages;2;Boissons non sucrées
218;Breakfasts;2;Pains et céréales
219;Plant-based spreads;2;Aliments et boissons à base de végétaux, Pâtes à tartiner
220;Chocolats noirs;2;Chocolats
221;Pflanzenfette;2;
222;Œufs de poisson;2;Produits de la mer
223;Frozen ready-made meals;2;Surgelés, Plats préparés
224;Pâtes sèches;2;Pâtes alimentaires
225;Jambons de Paris;2;Viandes et charcuteries
226;Vegetable oils;2;Huiles
227;fr:soupes-de-nouilles;2;Plats préparés
228;Pâtes à tartiner;2;Pâtes à tartiner
229;Flocons d'avoine;2;Pains et céréales
230;Miels;2;Miels
231;Œufs d'oiseau;2;Oeufs
232;Légumes;2;Légumes
233;Fromages à pâte pressée cuite;2;Produits laitiers
234;dairies;2;Produits laitiers
235;Plats à base de poulet;2;Plats préparés
236;Thés verts;2;Thés et infusions
237;Céréales au chocolat;2;Pains et céréales, Chocolats
238;Eaux minérales gazeuses;2;Eau
239;Tomates séchées;2;
240;Œufs;2;Oeufs
241;Matières grasses végétales;2;Huiles
242;Pizzas tartes salées et quiches;2;Plats préparés
243;fr:Bloc de foie gras;2;Viandes et charcuteries
244;Snacks salés;2;
245;Vins effervescents;2;Boissons alcoolisées
246;noodles;2;Pâtes alimentaires
247;Getreide und Getreideprodukte;2;Pains et céréales
248;Champagnes bruts;2;Boissons alcoolisées
249; prepared-meats;2;Plats préparés
250;Fromages râpés;2;Produits laitiers
251;Olive tree products;2;
252;Œufs de poules élevées en plein air;2;Oeufs
253;Pickles;1;
254;waters;1;Eau
255;Céréales au caramel;1;Pains et céréales
256;salty-snacks;1;
257; pasta-sauces;1;Sauces
258;Rösti;1;Pommes de terre, Plats préparés
259;Fermented drinks;1;
260; chips-and-fries;1;Pommes de terre
261;Yellowfin tunas;1;Produits de la mer
262;Céréales pour petits déjeuners;1;Pains et céréales
263;Olives vertes dénoyautées;1;
264; carbonated-mineral-waters;1;
265;Sodas aux fruits;1;Boissons
266;plats préparés;1;Plats préparés
267;Cabernet-Syrah;1;
268;Graines de légumineuses;1;Légumineuses
269; waters;1;Eau
270;Boissons lactées fermentées;1;Produits laitiers
271;Boissons végétales de soja au chocolat;1;Aliments et boissons à base de végétaux, Chocolats
272; tinned-mackerels;1;Conserves, Produits de la mer
273; pork;1;Viandes et charcuteries
274;Couscous préparés;1;Plats préparés, Pains et céréales
275;Lorraine quiche;1;Plats préparés
276;Pates-seches-semi-completes;1;Pâtes alimentaires
277;de:pflanzliche-lebensmittel;1;Aliments et boissons à base de végétaux
278;Pommes de terre Charlotte;1;Pommes de terre
279; beef-ravioli;1;Plats préparés
280; non-dairy-desserts;1;
281;Champagne;1;Boissons alcoolisées
282;Laits microfiltrés;1;Produits laitiers
283;salade de fruits;1;Fruits
284;Yaourts à boire goût vanille;1;Produits laitiers
285;Filets de maquereaux au vin blanc et aromates;1;Plats préparés
286;Petits pois et carottes en conserve;1;Conserves, Légumes
287;Fromages à pâte pressée non cuite;1;Produits laitiers
288; chickens;1;Viandes et charcuteries
289;Wines from Spain;1;Boissons alcoolisées
290;Cheeseburger;1;Plats préparés
291; soy-desserts;1;Plats préparés
292;Kuhmilchkäse;1;Produits laitiers
293;Biscottes sans sucre ajouté;1;Pains et céréales
294;Thés aromatisés;1;Thés et infusions
295; fr:lardons;1;Viandes et charcuteries
296;Jus de betterave;1;Jus de fruits
297;Tomates séchées à l'huile;1;
298; sauces;1;Sauces
299; chocolate-biscuits;1;Biscuits et gateaux, Chocolats
300;Produits à teneur réduite en sel;1;
301;Lentilles vertes;1;Légumineuses
302;Saumons sauvages;1;Produits de la mer
303;Tartes;1;Plats préparés
304;Labeled products;1;
305;Labeled cheeses;1;Produits laitiers
306;Kohlensäurehaltige Getränke;1;Boissons
307;Bonbons gélifiés;1;
308; mackerels;1;Produits de la mer
309;Crevettes;1;Produits de la mer
310;Crisps;1;Pommes de terre
311;it:Grana Padano;1;Produits laitiers
312;Champagnes français;1;Boissons alcoolisées
313; fr:cordons-bleus;1;Viandes et charcuteries, Plats préparés
314;Micro-ondes;1;Plats préparés
315;carbonated-drinks;1;Boissons
316;Paprika;1;Condiments
317;Oeufs labellisés;1;Oeufs
318;microwave-meals;1;Plats préparés
319;Chocolats noirs extra fin;1;Chocolats
320;Pop-corn;1;
321; frozen-ground-steaks;1;
322;Compotes pommes abricot;1;Compote de fruits
323;Semi-skimmed milks;1;Produits laitiers
324;Mint sauces;1;Sauces
325;Purées;1;Nourriture pour bébé
326;Olives noires;1;
327;Herbal teas;1;Thés et infusions
328; fr:Câpres;1;
329;Plats préparés surgelés;1;Plats préparés, Surgelés
330;Colins;1;Produits de la mer
331;Jus de fruits 100% pur jus;1;Aliments et boissons à base de végétaux
332;de:Siropes de arce;1;
333;Céréales préparées;1;Pains et céréales
334; canned-raviolis;1;Plats préparés, Conserves
335;Camemberts;1;Produits laitiers
336;Crêpes;1;
337;Champagnes;1;Boissons alcoolisées
338;Côtes du Rhône;1;
339;Säfte und Nektare;1;Jus de fruits
340;Tomates confites;1;Aliments et boissons à base de végétaux
341;Pains grillés;1;Pains et céréales
342;shelled-almonds;1;
343;Foies gras;1;Viandes et charcuteries
344;Viandes en conserve;1;Viandes et charcuteries, Conserves
345;Yaourts aux fruits;1;Produits laitiers
346;Produits à faible teneur en matières grasses;1;
347;Charcuterie;1;Viandes et charcuteries
348;groceries;1;
349;Biscuits à la noix de coco;1;Biscuits et gateaux
350; pastas;1;Pâtes alimentaires
351;Aliments et boissons à base de légumes;1;Aliments et boissons à base de végétaux
352;Snacks und Desserts für Babies;1;Nourriture pour bébé
353;Glaces et sorbets;1;
354;Hot beverages;1;
355; puffed-cereals;1;Pains et céréales
356;Bresaolas;1;Viandes et charcuteries
357;Sirops d'agave;1;
358;Laits de chèvre;1;Produits laitiers
359;Thons blancs;1;Produits de la mer
360; frozen-pizzas-and-pies;1;Plats préparés, Surgelés
361;lait;1;Produits laitiers
362;Piments;1;Condiments
363;Desserts de soja au cacao;1;
364;Truffes;1;
365;Thons au naturel;1;Produits de la mer
366;Fromages de Grèce;1;Produits laitiers
367;Laits de soja naturel sans sucre;1;Aliments et boissons à base de végétaux
368; Plant-based foods;1;Aliments et boissons à base de végétaux
369;Banyuls;1;
370;Pavés de saumon;1;Produits de la mer
371;Miels liquides;1;Miels
372;Teas;1;Thés et infusions
373;Cranberries sucrées et séchées;1;Fruits séchés
374;Crêpes and galettes;1;
375;Crèmes dessert;1;
376;Filets de maquereaux;1;Produits de la mer
377;it:vinaigres-balsamiques;1;
378;Fruits frais;1;Fruits
379;fr:Mueslis aux fruits;1;
380; extra-virgin-olive-oils;1;
381;Smoked salmons;1;Produits de la mer
382;Bebidas;1;
383;Vino blanco;1;Boissons alcoolisées
384; fresh-foods;1;
385;Single malts;1;
386;Sauces pimentées;1;Sauces
387;Crevettes roses;1;Produits de la mer
388;Boisson au riz à l'amande;1;Aliments et boissons à base de végétaux
389;Buttertoast;1;Pains et céréales
390;Pâtisseries;1;Biscuits et gateaux
391;Mousses de foies;1;Viandes et charcuteries
392;Glaces aux noisettes;1;
393;it:vinaigres;1;
394;Snacks salées;1;
395;Filets de thon;1;Produits de la mer
396;Fromages au poivre;1;Produits laitiers
397;Pains grillés au froment;1;Pains et céréales
398;Plats préparés à réchauffer au four traditionnel;1;Plats préparés
399;Aliments à base de plantes frais;1;Aliments et boissons à base de végétaux
400;Œufs de Saumon;1;Produits de la mer
401;Italienischer Käse;1;Viandes et charcuteries
402;Pâtes à tartiner végétaux;1;Aliments et boissons à base de végétaux
