,manufacturing_places
0,France
1,Italy
2,Germany
3,Netherlands
4,Bretagne
5,Spain
6,Sarthe
7,Thailand
8,Ille-et-Vilaine
9,England
10,United Kingdom
11,Nord-Pas-de-Calais
12,Rhône-Alps
13,Vendée
14,Greece
15,Pas-de-Calais
16,Denmark
17,Mexico
18,Herta SAS - Route d'Ostreville - Zone Industrielle - 62130 Saint-Pol-sur-Ternoise
19,Italyn
20,Picardie
21,Mayenne
22,
23,Portugal
24,Scotland
25,Châteaubourg
26,Bretaña
27,St Michel-Chef-Chef
28,Francia
29,Aniello Longobardi Srl Via Achille Grandi
30,Turkey
31,Marie (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZI de l'Aubrée - 72300 Sablé-sur-Sarthe
32,Middlesex
33,Grand Est
34,325 Oldfield Lane North
35,Ain
36,Ecuador
37,20 84018 Scafati Salerno Italy
38,Aisne
39,Greenford
40,Fleury Michon Traiteur - FMT (Filiale Fleury Michon Solution Repas) - Rue des Javelières - ZI Le Grenouiller - 85390 Mouilleron-en-Pareds
41,Centre
42,Fromageries Bel Production France (Filiale Groupe Bel) - Route du Mans - La Tournerie - 72300 Sablé-sur-Sarthe
43,Société ière de Vitré (Filiale Groupe Lactalis) - Les Guichardières - 35500 Vitré
44,Basse-Normandie
45,Ille y Vilaine
46,-Atlantic Oceans
47,Lombardie
48,Rennes (distrito)
49,Fromageries Bel Production France (Filiale Groupe Bel) - 6 Boulevard Bel - 53600 Évron
50, (Filiale Bongrain) - 155 Avenue Rauski - BP 5
51,Suède
52,Triballat Noyal - ZA des Rouyardières - Parc d'Activités des Portes de Bretagne - 35220 Châteaubourg
53,Canada
54,Haute-Savoie
55,Morbihan
56,Marne
57,Austria
58,Bremerhaven
59,République Tchèque
60,Noyal-sur-Vilaine
61,Vietnam
62,Rumilly
63,Carbost
64,Saint-Michel-Chef-Chef
65,Elaboré en:
66,Russia
67,Haute-Normandie
68,Yonne
69,Société de la Fromagerie Boursin (Filiale Groupe Bel) - 3 Route de Saint-Aquilin - 27120 Croisy-sur-Eure
70,24043 Caravaggio
71,Bouches-du-Rhône
72,Saupiquet (S. SAS) - Allée de Kergolvez - ZI de Kergolvez - 29000 Quimper
73,Garrel D- 49676
74,Poitou
75,Malaysia
76,Finistère
77,Picard Surgelés
78,40011 Falani
79,sn - Arma Di Taggia Italy
80,Mönchsteinach
81,Talisker Distellery
82,UB 6 0AZ
83,Émilie-Romagne
84,Leiria
85,Fromagerie de Vihiers - Fromarsac (Filiale Bongrain) - 2 Route de Niort - St Hilaire du Bois
86,Salò
87,Mirebeau
88,Valdastillas
89,Eure
90,Isle of Skye
91,Pampr'oeuf Distribution - Les Brélières - 79800 Pamproux
92,Centre-Val de Loire
93,Ongrie
94,Nord
95,SALAISONS BOLARD FRERES Z I AU NIEVRE D'EN BAS 4 REuropean Union PHILIBERT DE LA BAUME 39160 SAINT AMOUR France
96,fabriqué en Grande-Bretagne
97,Jus de Fruits d'Alsace - JFA (Filiale erie de Saint-Denis-de-l'Hôtel - LSDH) - Zone Industrielle Rimsdorf - 67260 Sarre-Union
98,Bickenbach
99,Sri Lanka
100,Sablé sur Sarthe
101,Extremadura
102,Calvados
103,Saupiquet
104,BARILLA ALIMENTARE SPA VIA MANTOVA 166 STABILIMENTO PARMA - PR Italy
105,49310 Vihiers
106,Vittel
107,Belgium
108,Canelia Petit Fayt Beurre (Filiale Groupe Lactalis) - 49 Rue du Village - 59244 Petit-Fayt
109,Dinan
110,London
111,Vermont
112,belgique
113,Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne
114,S.p.A. Egidio Galbani (Filiale Groupe Lactalis) - Viale Europa Unita 34
115,Hotos SA - 30 Rue Iroon Polytexneiou
116,LES NUTONS Marche Chemin Saint-Antoine 5 6900 Marche-en-Famenne Belgium
117,Ghana
118,FINISTERE
119,Peru
120,China
121,United States
122,Elst
123,Loire-Atlantic Ocean
124,Yoplait France (Filiale Général Mills / Sodiaal) - 23 Rue des Grandes Courbes - 72100 Le Mans
125,44730
126,Champagne-Ardenne
127,Société Fromagère de Sainte-Cécile (Filiale Groupe Lactalis) - L'Acherie - 50800 Sainte-Cécile
128,69400 Arnas
129,St. Dalfour Marmande
130,D-92521 Schwarzenfeld
131,Saint-Flour
132,Vertou
133,Modène
134,Candia (Filiale Sodiaal International) - Rue Saint-Martin - La Fondinais - 44750 Campbon
135,via F. De Cecco Fara S.Martino. Italy
136,Lactalis Nestlé Ultra-Frais Laval - LNUF Laval (Filiale Groupe Lactalis) - Boulevard Arago - ZI des Touches - 53810 Changé
137,Tata Global Beverages GB Ltd
138,Monini S.p.A. - S.S. Flaminia Km. 129 Spoleto (PG) - Italy
139,Ardèche
140,Société ière de Clermont (Filiale Groupe Lactalis) - 2 Rue Henri Breuil - 60600 Clermont
141,Haute-Marne
142, fabrication francaise
143,20066 Melzo
144,Cáceres (provincia)
145,Charcuteries Gourmandes (Filiale Groupe Cosnelle) - Belle Rive - ZI de la Rochette - 56120 Josselin
146,Milan
147,Rueda
148,Ebly - ZI de Marboué - RN 10
149,Deux-Sèvres
150,Weinstadt
151,LDS SAS
152,Lorette
153,Seine-et-Marne
154,Liechtenstein
155,San Pellegrino Terme (Bergamo) Italy
156,erie Coralis (Filiale Groupe Agrial) - 2 Route de Fougères - 35510 Cesson-Sévigné
157,Morocco
158,tavarnelle Val di pesa
159,B. Paulus GmbH Tiefkühlspezialitäten Blättelbornweg 6 66663 Merzig Germany
160,Ungarn
161,Loire Atlantic Ocean
162,Israel
163,51200
164,Tech
165,Festins de Sologne - Rue Léonard de Vinci - Parc d'Activités de Sologne Les Hauts Noirs - 41600 Lamotte-Beuvron
166,Vevy
167,Lactinov Braine [Filiale Groupe Lactinov (Filiale Lact'Union)] - 9 Rue Claude Reclus - Zone d'Activités des Waillons - 02220 Braine
168,Tours-sur-Marne
169,South Korea
170,Bas-Rhin
171,erie Ribilaire
172,Loire
173,SA Favrichon
174,Via S. Maria Capua Vetere 121
175,Privatmolkerei Bechtel
176,41122 Modena
177,Charmes sur Rhône
178,Dordogne
179,Alsace-Champagne-Ardenne-Lorraine
180,Rhône
181,Sept. Sanpellegrino S.p.A. Sede Legale: Località Ruspino 24016 San Pellegrino Terme (BG)
182,Lampaul-Guimiliau
183,Sassello
184,FROMAGERIES PERREAULT LE FRESNE 53170 MESLAY DU MAINE France
185,Tunisia
186,Varberg
187,S.p.A. E. Galbani
188,GIUSEPPE CITTERIO SALUMIFICIO SPA VIA TICINO 105 SANTO STEFANO TICINO - MI Italy
189,SAVEuropean UnionR D AUGE PARC D'ACTIVITES LAUNAY ART ANC RTE DE LISIEuropean UnionX 14130 PONT L'EVEQEuropean Union France
190,Manche
191,Bergame
192,Fleury Michon Traiteur - FMT (Filiale Fleury Michon Solution Repas) - Parc d'Activité Polaris - 85110 Chantonnay
193,Molkereistrasse 5
194,France Route de Castenaudary 31250 Castelnaudary
195,G. POZZOLI 1875 SRL VIA AL PIANO 30 GORDONA - SO Italy
196,William Saurin (WS) - 26 Rue de Crécy - D35 - 02270 Pouilly-sur-Serre
197,14670
198, chateaudun
199,Capua
200,Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Clos du Poivre - Route d'Assérac - 44410 Herbignac
201,Banffshire
202,Valladolid (provincia)
203,10600
204,Monts & terroirs
205,2610 Casale Cremasco-Vidolasco
206,BRETAGNE
207,Atmando De Angelis S.r.l. Via Olanda 2 37069 Villafranca (VR)  Italy
208,Fromarsac (Filiale Savencia Fromage & Dairy) - 86 Rue du 8 Mai - La Prunerie - 24430 Marsac-sur-l'Isle
209,Troarn
210,Caceres
211,Nemours
212,22761 HAMBOURG
213,Seychelles
214,UB6 0AZ
215,Poitou-Charentes
216,Belgique
217,Unión Europea
218,European Seafood Investments Portugal - ESIP (Filiale MWBrands) - Avenida Monsenhor Manuel Bastos Rodrigues De Sousa - 2520-206 Peniche
219,Quimper
220,Ile de France
221,Seoul
222,Antartic II
223,Antartic II (Filiale du Groupement Les Mousquetaires) - Lieu dit Champ Trentenier - ZA - 07800 Charmes-sur-Rhône
224,Oise
225, Greece
226,Selby. U-K
227,51150
228,Union des Coopératives Agricoles Lorco - 16 Rue Camille Claudel - Bellerive - 56620 Pont-Scorff
229,Tata Global Beverages GB Limited
230,Normandie
231,Poland
232,Viriat
233,28200 Marboué
234,Clécy
235,(BG : Bergame)
236,Costa Ligure Sancon Snc Di Viale D. & Pavone F. Indirizzo: Reg. Prati Pescine
237,Ile-de-France
238,Danone Produits Frais France - DPFF (Filiale Danone) - La Sablonnière - 14330 Le Molay-Littry
239,Fattorie Garofalo Soc. Coop. Agricola
240,Egypt
241,México
242,LAMPAULAISE DES SALAISONS
243,Bressor (Filiale Savencia Fromage & Dairy) - Le Village - 01960 Servas
244,Loir-et Cher
245,South Africa
246,(CR : Crémone)
247,29403 LANDIVISIAU
248,LDC Sablé (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZI Saint Laurent - 72300 Sablé-sur-Sarthe
249,Epernay
250,Parmareggio S.p.A.
251,Osellsa
252,Bongrain-Gérard - BG (Filiale Savencia Fromage & Dairy) - Grande Rue - 52150 Illoud
253,Balakanakis Bros SA Olympic Fruit Argoliko-Nafplio-GR21100 Nafplio
254,Marie (Filiale L.D.C.)
255,S.p.A. Egidio Galbani (Filiale Groupe Lactalis) - Via Roma 1/3
256,Ets Louis Tessier - SELT (Filiale Savencia Fromage & Dairy) - 10 Route des Grands Champs - Lieu dit La Maladrerie - 49140 Cornillé-les-Caves
257,IV47 8SR
258,OU
259,CH 4402 Frenkendorf
260,sesto san giovanni
261,Plasencia
262,31250 RevelFrance
